,dt_year,dt_date,country,region,level_of_development,greenhousegas_emissione_mtco2equivalent,total_government_revenue_proportion_of_gdp_perc,fdi_inflows_millionusd,annual_growth_rate_perc,proportion_of_population_with_primary_reliance_on_clean_fuels_a,mortality_rate_perc,renewable_energy_share_on_the_total_energy_consumption,co2emissions_from_fuel_combustion_in_millions_of_tonnes,fossilfuel_subsidies_consumption_and_production_billionusd,randd_expenditure_proportionofgdp_perc,national_action_plans_as_priority_national_policies,number_of_companies_publishing_sustainability_reports,education_for_sustainable_development,enhance_policy_coherence_for_sustainable_development,land_degraded_over_total_land_area,IIASA rates of no education projections (IIASA (2015)),GDP (constant 2015 US$),"Literacy rate, adult total (% of people ages 15 and above)",Annual CO₂ emissions (zero filled),"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)"
4055,2021,2021-01-01,Serbia,Europe and North America,Economies in Transition,,,,,,,,,,,1.0,,,,,,,,30868986.0,
4076,2002,2002-01-01,Seychelles,Sub-Saharan Africa,Not Specified,,,64.74027,-0.0073973999999999,95.0,,1.1,,,0.0040707,,,,,,,878473216.0,91.83645629882812,348080.0,
4077,2003,2003-01-01,Seychelles,Sub-Saharan Africa,Not Specified,,,47.71778,-0.0822164,95.0,,1.12,,,0.0041183,,,,,,,826756352.0,,340752.0,
4078,2004,2004-01-01,Seychelles,Sub-Saharan Africa,Not Specified,,,58.4255,-0.0379505,95.0,,0.96,,,0.0034658,,,,,,,803190016.0,,370064.0,
4079,2005,2005-01-01,Seychelles,Sub-Saharan Africa,Not Specified,,0.4175477,37.44667,0.0746343,95.0,0.237,0.94,,,0.0030209,,,,,,,875523456.0,,381056.0,100.0
4080,2006,2006-01-01,Seychelles,Sub-Saharan Africa,Not Specified,,0.4160797,85.8796,0.0833227,95.0,,0.95,,,,,,,,,,957876288.0,,384720.0,
4081,2007,2007-01-01,Seychelles,Sub-Saharan Africa,Not Specified,,0.3142387,145.58595,0.0972932999999999,95.0,,1.01,,,,,,,,,,1057700736.0,,403040.0,
4082,2008,2008-01-01,Seychelles,Sub-Saharan Africa,Not Specified,,0.3485184,181.628,-0.0253108999999999,95.0,,0.91,,,,,,,,,,1034993024.0,,414032.0,
4083,2009,2009-01-01,Seychelles,Sub-Saharan Africa,Not Specified,,0.3286412,182.105,-0.0149164,95.0,,0.83,,,,,,,,,,1023553856.0,,439680.0,
4084,2010,2010-01-01,Seychelles,Sub-Saharan Africa,Not Specified,,0.3370972,171.401,0.0540906,95.0,0.212,0.71,,,,,,,,,,1084506112.0,93.95423126220705,443344.0,100.0
4085,2011,2011-01-01,Seychelles,Sub-Saharan Africa,Not Specified,,0.3827005,210.816,0.0466880999999999,95.0,,0.85,,,,,,,,,,1170044160.0,,406704.0,100.0
4086,2012,2012-01-01,Seychelles,Sub-Saharan Africa,Not Specified,,0.3748977,207.356,0.0287332,95.0,,0.78,,,,,,,,,,1184796416.0,,425024.0,100.0
4087,2013,2013-01-01,Seychelles,Sub-Saharan Africa,Not Specified,,0.3413755,261.36,0.0511905,95.0,,1.48,,,,,,,,,,1256098304.0,,414032.0,100.0
4088,2014,2014-01-01,Seychelles,Sub-Saharan Africa,Not Specified,,0.3465377999999999,170.25,0.0359539,95.0,,1.37,,,,,,,,,,1312682880.0,,458000.0,100.0
4089,2015,2015-01-01,Seychelles,Sub-Saharan Africa,Not Specified,,0.3461867,229.96,0.0409427,95.0,0.209,1.36,,0.0,,,,,,12.0,,1377495040.0,,498304.0,100.0
4090,2016,2016-01-01,Seychelles,Sub-Saharan Africa,Not Specified,,0.377167,194.546,0.0360157,95.0,,1.22,,0.0,0.0022175,,,,,,,1440344960.0,,553264.0,100.0
4091,2017,2017-01-01,Seychelles,Sub-Saharan Africa,Not Specified,,0.3612731999999999,155.238,0.0413117,95.0,,1.25,,0.0,,,,,,,,1508593664.0,,575248.0,100.0
4092,2018,2018-01-01,Seychelles,Sub-Saharan Africa,Not Specified,,0.389739,191.94766,0.0106054,95.0,,1.24,,0.0,,,,,,,,1535313664.0,95.86770629882812,600896.0,
4093,2019,2019-01-01,Seychelles,Sub-Saharan Africa,Not Specified,,,119.52353,0.005253,95.0,0.211,1.47,,0.0,,,,,,,,1553599360.0,,593568.0,
4094,2020,2020-01-01,Seychelles,Sub-Saharan Africa,Not Specified,,,143.74186,-0.1132254999999999,95.0,,,,2e-05,,,,0.0,,,,1386262400.0,,538384.0,
4095,2021,2021-01-01,Seychelles,Sub-Saharan Africa,Not Specified,,,,,,,,,,,,,,,,,,,568279.0,
4096,2002,2002-01-01,Sierra Leone,Sub-Saharan Africa,Least Developed,684.25429,0.1520319,9.83576,0.2102806,5.0,,87.99,,,,,,,,,,2187725568.0,,501968.03,
4097,2003,2003-01-01,Sierra Leone,Sub-Saharan Africa,Least Developed,684.29956,0.1435042,10.41343,0.0436764,5.0,,86.53,,,,,,,,,,2391471104.0,,534944.0,
4098,2004,2004-01-01,Sierra Leone,Sub-Saharan Africa,Least Developed,842.75379,0.1574935999999999,8.61505,0.0202876,5.0,,86.58,,,,,,,,,,2549259008.0,34.82678985595703,520288.0,
4099,2005,2005-01-01,Sierra Leone,Sub-Saharan Africa,Least Developed,845.09326,0.1600348,61.15322,0.005876,5.0,0.243,88.13,,,,,,,,,,2664105472.0,,425024.0,100.0
4100,2006,2006-01-01,Sierra Leone,Sub-Saharan Africa,Least Developed,,0.1507866,83.18225,0.00941,5.0,,84.37,,,,,,,,,,2776635136.0,,578912.0,
4101,2007,2007-01-01,Sierra Leone,Sub-Saharan Africa,Least Developed,,0.1204500999999999,58.76802,0.0516494,5.0,,86.35,,,,,,,,,,3000380416.0,,487312.0,
4102,2008,2008-01-01,Sierra Leone,Sub-Saharan Africa,Least Developed,,0.1239705,96.57771,0.0292809,5.0,,86.03,,,,,,,,,,3162349312.0,,505631.97,
4103,2009,2009-01-01,Sierra Leone,Sub-Saharan Africa,Least Developed,,0.1505062,57.62382,0.0089595,5.0,,86.14,,,,,,,,,,3263166720.0,,501968.03,
4104,2010,2010-01-01,Sierra Leone,Sub-Saharan Africa,Least Developed,,0.1512908,110.84551,0.0300049,5.0,0.258,84.89,,,,,,,,,,3437630720.0,,542272.0,100.0
4105,2011,2011-01-01,Sierra Leone,Sub-Saharan Africa,Least Developed,,0.1696276,238.43729,0.0392423,5.0,,81.0,,,,,,,,,,3654718720.0,,710816.0,100.0
4106,2012,2012-01-01,Sierra Leone,Sub-Saharan Africa,Least Developed,,0.1517515,950.47825,0.1262014,5.0,,79.06,,,,,,,,,,4209569792.0,,831728.0,100.0
4107,2013,2013-01-01,Sierra Leone,Sub-Saharan Africa,Least Developed,,0.1326434,722.44685,0.1805268,5.0,,75.67,,,,,,,,,,5081614336.0,32.426170349121094,1007599.94,100.0
4108,2014,2014-01-01,Sierra Leone,Sub-Saharan Africa,Least Developed,,0.1404036,429.66449,0.0227699,5.0,,73.88,,,,,,,,,,5313171968.0,,1110192.0,100.0
4109,2015,2015-01-01,Sierra Leone,Sub-Saharan Africa,Least Developed,,0.2199655999999999,375.0897,-0.2220657,5.0,0.2339999999999999,75.0,,0.0,,,,,,18.0,,4218723840.0,,1044639.94,100.0
4110,2016,2016-01-01,Sierra Leone,Sub-Saharan Africa,Least Developed,,0.2159300999999999,252.4359,0.0406684,5.0,,73.6,,0.0,,,,,,,,4474187776.0,,1150496.0,100.0
4111,2017,2017-01-01,Sierra Leone,Sub-Saharan Africa,Least Developed,,0.1792138999999999,137.96573,0.0157135,5.0,,74.61,,0.0,,,,,,,,4661772800.0,,1055232.0,100.0
4112,2018,2018-01-01,Sierra Leone,Sub-Saharan Africa,Least Developed,,0.1918105,128.88345,0.0125926999999999,5.0,,75.95,,0.0,,,,,,,,4823284736.0,43.206329345703125,1036911.94,
4113,2019,2019-01-01,Sierra Leone,Sub-Saharan Africa,Least Developed,,,217.81292,0.0330569999999999,5.0,0.235,75.44,,0.00441,,,,,,,,5076711936.0,,1190800.0,
4114,2020,2020-01-01,Sierra Leone,Sub-Saharan Africa,Least Developed,,,367.7,-0.0415951,5.0,,,,0.00504,,,,0.0,,,,4976754176.0,,1216472.0,
4115,2021,2021-01-01,Sierra Leone,Sub-Saharan Africa,Least Developed,,,,,,,,,,,,,,,,,,,1299404.0,
4116,2002,2002-01-01,Singapore,Eastern and South Eastern Asia,Developing Economies,,0.211831,17301.64311,0.0322408999999999,95.0,,0.58,41.29,,0.0203282,,,,,,,144417947648.0,,47093390.0,
4117,2003,2003-01-01,Singapore,Eastern and South Eastern Asia,Developing Economies,,0.1942535,5338.35216,0.0390779,95.0,,0.58,38.16,,0.0199679,,,,,,,150968434688.0,,49438350.0,
4118,2004,2004-01-01,Singapore,Eastern and South Eastern Asia,Developing Economies,,0.1878179,16353.24708,0.0855798,95.0,,0.53,39.62,,0.0207859,,,,,,,165792907264.0,,46858896.0,
4119,2005,2005-01-01,Singapore,Eastern and South Eastern Asia,Developing Economies,,0.1817528,22324.8907,0.0513232,95.0,0.131,0.54,36.9,,0.0214812,,,,,,15.5836648,177993678848.0,,40322320.0,100.0
4120,2006,2006-01-01,Singapore,Eastern and South Eastern Asia,Developing Economies,,0.1789728,17747.77698,0.0562173,95.0,,0.52,37.17,,0.0211661,,,,,,,194022260736.0,,46470510.0,
4121,2007,2007-01-01,Singapore,Eastern and South Eastern Asia,Developing Economies,,0.1925026,37480.37988,0.0482426,95.0,,0.5,38.29,,0.0231988,,,,,,,211527204864.0,,47184990.0,
4122,2008,2008-01-01,Singapore,Eastern and South Eastern Asia,Developing Economies,,0.2041494,42608.91779,-0.0233748999999999,95.0,,0.53,38.42,,0.0259674,,,,,,,215479058432.0,,59990670.0,
4123,2009,2009-01-01,Singapore,Eastern and South Eastern Asia,Developing Economies,,0.1705451,11810.14376,-0.0372552,95.0,,0.48,38.83,,0.0212924,,,,,,,215739744256.0,,43128944.0,
4124,2010,2010-01-01,Singapore,Eastern and South Eastern Asia,Developing Economies,46.8695,0.1677906,18531.87671,0.1085276999999999,95.0,0.11,0.47,42.41,,0.0193137,,,,,,13.3174579,247077322752.0,95.85733032226562,55066256.0,100.0
4125,2011,2011-01-01,Singapore,Eastern and South Eastern Asia,Developing Economies,,0.1702096,57460.08463,0.0366179,95.0,,0.48,44.77,,0.0207065,,,,,,,262736756736.0,96.18604278564452,31206288.0,100.0
4126,2012,2012-01-01,Singapore,Eastern and South Eastern Asia,Developing Economies,48.33387,0.174768,39890.36238,0.0240252,95.0,,0.51,43.69,,0.0191939,,,,,,,274459049984.0,96.36978912353516,48328160.0,100.0
4127,2013,2013-01-01,Singapore,Eastern and South Eastern Asia,Developing Economies,,0.1723965,60102.98636,0.0321755,95.0,,0.56,43.91,,0.0192335,,,,,,,287735447552.0,96.54801940917967,50881970.0,100.0
4128,2014,2014-01-01,Singapore,Eastern and South Eastern Asia,Developing Economies,,0.180209,56671.62151,0.0258576,95.0,,0.59,44.4,,0.0208463999999999,,,,,,,299066490880.0,96.71669006347656,52252304.0,100.0
4129,2015,2015-01-01,Singapore,Eastern and South Eastern Asia,Developing Economies,,0.1799711,73286.61063,0.0176334,95.0,0.099,0.65,45.43,4.99228,0.0218197999999999,,,,,,11.3279332,308004159488.0,96.82549285888672,56465904.0,100.0
4130,2016,2016-01-01,Singapore,Eastern and South Eastern Asia,Developing Economies,,0.1848357,59700.10838,0.0220535,95.0,,0.68,46.1,3.52069,0.0207629,,48.0,,,,,318257725440.0,97.049560546875,35654384.0,100.0
4131,2017,2017-01-01,Singapore,Eastern and South Eastern Asia,Developing Economies,,0.2018415999999999,70221.27321,0.0352413,95.0,,0.67,49.14,5.10771,0.0192465,,68.0,,,,,332644155392.0,97.20221710205078,37156624.0,100.0
4132,2018,2018-01-01,Singapore,Eastern and South Eastern Asia,Developing Economies,,0.1823317,84670.9826,0.0260841,95.0,,0.73,47.4,8.00336,,,82.0,,,,,344278302720.0,97.34485626220705,46019840.0,
4133,2019,2019-01-01,Singapore,Eastern and South Eastern Asia,Developing Economies,,0.2104059,75968.71984,0.0052741,95.0,0.095,0.84,47.38,7.90785,,,150.0,,,,,348909600768.0,97.47958374023438,29916560.0,
4134,2020,2020-01-01,Singapore,Eastern and South Eastern Asia,Developing Economies,,0.1855685,114161.8493,-0.0613499,95.0,,,,8.39472,,1.0,180.0,0.0,,,9.582053,330099785728.0,,29909494.0,
4135,2021,2021-01-01,Singapore,Eastern and South Eastern Asia,Developing Economies,,,,,,,,,,,,,,,,,,,32506890.0,
4136,2002,2002-01-01,Sint Maarten (Dutch part),Latin America and the Caribbean,Not Specified,,,,0.0,,,0.0,,,,,,,,,,,,579362.0,
4137,2003,2003-01-01,Sint Maarten (Dutch part),Latin America and the Caribbean,Not Specified,,,,0.0,,,0.0,,,,,,,,,,,,579748.0,
4138,2004,2004-01-01,Sint Maarten (Dutch part),Latin America and the Caribbean,Not Specified,,,,0.0,,,0.0,,,,,,,,,,,,608273.0,
4139,2005,2005-01-01,Sint Maarten (Dutch part),Latin America and the Caribbean,Not Specified,,,,0.0,,,0.0,,,,,,,,,,,,602876.0,
4140,2006,2006-01-01,Sint Maarten (Dutch part),Latin America and the Caribbean,Not Specified,,,,0.0476844,,,0.0,,,,,,,,,,,,628317.0,
4141,2007,2007-01-01,Sint Maarten (Dutch part),Latin America and the Caribbean,Not Specified,,,90561.85867,0.0420998,,,0.0,,,,,,,,,,,,707339.0,
4142,2008,2008-01-01,Sint Maarten (Dutch part),Latin America and the Caribbean,Not Specified,,,71.63128,0.0116478,,,0.0,,,,,,,,,,,,680356.0,
4143,2009,2009-01-01,Sint Maarten (Dutch part),Latin America and the Caribbean,Not Specified,,,85.87709,-0.0089100999999999,,,0.0,,,,,,,,,,1108116864.0,,696160.0,
4144,2010,2010-01-01,Sint Maarten (Dutch part),Latin America and the Caribbean,Not Specified,,,39.65922,-0.0045467,,,0.0,,,,,,,,,,1143576576.0,,479525.0,
4145,2011,2011-01-01,Sint Maarten (Dutch part),Latin America and the Caribbean,Not Specified,,,41.73305,-0.0230106,,,0.0,,,,,,,,,,1196181120.0,,611742.0,
4146,2012,2012-01-01,Sint Maarten (Dutch part),Latin America and the Caribbean,Not Specified,,,-45.68215,-0.0191056,,,0.05,,,,,,,,,,1212814464.0,,696160.0,
4147,2013,2013-01-01,Sint Maarten (Dutch part),Latin America and the Caribbean,Not Specified,,,19.60517,-0.0232212,,,0.05,,,,,,,,,,1228662656.0,,714480.0,
4148,2014,2014-01-01,Sint Maarten (Dutch part),Latin America and the Caribbean,Not Specified,,,38.29508,-0.0179243,,,0.05,,,,,,,,,,1248080256.0,,725472.0,
4149,2015,2015-01-01,Sint Maarten (Dutch part),Latin America and the Caribbean,Not Specified,,,53.14765,-0.0223703,,,0.05,,,,,,,,,,1253072640.0,,743792.0,
4150,2016,2016-01-01,Sint Maarten (Dutch part),Latin America and the Caribbean,Not Specified,,,35.5442,-0.0163482,,,0.05,,,,,,,,,,1259337984.0,,743792.0,
4151,2017,2017-01-01,Sint Maarten (Dutch part),Latin America and the Caribbean,Not Specified,,,54.70996,-0.0980569,,,0.05,,,,,,,,,,1186296448.0,,707152.0,
4152,2018,2018-01-01,Sint Maarten (Dutch part),Latin America and the Caribbean,Not Specified,,,64.2483,-0.1017502,,,0.05,,,,,,,,,,1108000768.0,,688832.0,
4153,2019,2019-01-01,Sint Maarten (Dutch part),Latin America and the Caribbean,Not Specified,,,-196.6257,0.0685853999999999,,,0.05,,,,,,,,,,,,688832.0,
4154,2020,2020-01-01,Sint Maarten (Dutch part),Latin America and the Caribbean,Not Specified,,,58.93959,-0.2486501,,,,,,,,,0.0,,,,,,588126.0,
4155,2021,2021-01-01,Sint Maarten (Dutch part),Latin America and the Caribbean,Not Specified,,,,,,,,,,,,,,,,,,,647902.0,
4156,2002,2002-01-01,Slovakia,Europe and North America,Developed Economies,49.5267,0.3722642,2274.8396,0.0450693,95.0,,5.48,36.9,,0.0056314,,,,,,,51838074880.0,,41960932.0,
4157,2003,2003-01-01,Slovakia,Europe and North America,Developed Economies,49.68081,0.3725916,5864.87883,0.0550471,95.0,,5.35,37.41,,0.0056146,,,,,,,54688694272.0,,42293770.0,
4158,2004,2004-01-01,Slovakia,Europe and North America,Developed Economies,50.40947,0.3560576,2975.66798,0.0528772999999999,95.0,,6.25,36.21,,0.0050069,,,,,,,57575645184.0,,42780236.0,
4159,2005,2005-01-01,Slovakia,Europe and North America,Developed Economies,50.35719,0.3685173,4028.99182,0.066317,95.0,0.23,6.31,37.26,,0.0049331999999999,,,,,,0.3189487,61389148160.0,,42788856.0,100.0
4160,2006,2006-01-01,Slovakia,Europe and North America,Developed Economies,50.26753,0.352423,3109.63786,0.08499,95.0,,6.57,36.48,,0.0047488,,,,,,,66603036672.0,,42552108.0,
4161,2007,2007-01-01,Slovakia,Europe and North America,Developed Economies,48.47795,0.343303,5803.08628,0.1083164,95.0,,8.23,35.71,,0.0044746,,,,,,,73817497600.0,,40968268.0,
4162,2008,2008-01-01,Slovakia,Europe and North America,Developed Economies,48.89852,0.3447089,4017.2452,0.0556161,95.0,,7.63,35.49,,0.0046137,,,,,,,77932740608.0,,41359044.0,
4163,2009,2009-01-01,Slovakia,Europe and North America,Developed Economies,44.70618,0.3625824,4868.02358,-0.0548672999999999,95.0,,10.0,32.7,,0.0047272,,,,,,,73681092608.0,,37622064.0,
4164,2010,2010-01-01,Slovakia,Europe and North America,Developed Economies,45.36393,0.3496036,-6.0791,0.0623151,95.0,0.205,10.28,34.57,,0.0061147,,,,,,0.2973176,78318051328.0,,38403932.0,100.0
4165,2011,2011-01-01,Slovakia,Europe and North America,Developed Economies,44.55547,0.373011,1769.76074,0.025493,95.0,,10.36,32.86,,0.0065779,,,,,,,80383614976.0,,37984836.0,100.0
4166,2012,2012-01-01,Slovakia,Europe and North America,Developed Economies,42.30922,0.367937,3491.28594,0.0124681,95.0,,10.47,31.25,,0.007964,,,,,,,81475403776.0,,35910396.0,100.0
4167,2013,2013-01-01,Slovakia,Europe and North America,Developed Economies,41.86256,0.396198,2981.68815,0.0052785,95.0,,10.68,31.79,,0.0082157,,,,,,,82008875008.0,,35565564.0,100.0
4168,2014,2014-01-01,Slovakia,Europe and North America,Developed Economies,39.86299,0.4019741,-604.24777,0.0259044,95.0,,12.24,29.17,,0.0087814,,,,,,,84243103744.0,,33656216.0,100.0
4169,2015,2015-01-01,Slovakia,Europe and North America,Developed Economies,40.71246,0.4309126,-512.82112,0.0508387,95.0,0.175,13.41,29.45,0.23809,0.011626,,,,,4.0,0.2762112,88636932096.0,,34468228.0,100.0
4170,2016,2016-01-01,Slovakia,Europe and North America,Developed Economies,41.11212,0.4007668,106.13991,0.0181196,95.0,,13.09,30.16,0.24128,0.0079078,,,,,,,90349109248.0,,34912876.0,100.0
4171,2017,2017-01-01,Slovakia,Europe and North America,Developed Economies,42.2267,0.3807525,805.90078,0.0286872,95.0,,12.43,32.21,0.24537,0.0088612,,,,,,,93041680384.0,,36112652.0,100.0
4172,2018,2018-01-01,Slovakia,Europe and North America,Developed Economies,42.15913,0.3831191,4016.77077,0.0369707,95.0,,12.43,31.66,0.28878,0.0083806,,,,,,,96572063744.0,,36102972.0,
4173,2019,2019-01-01,Slovakia,Europe and North America,Developed Economies,39.94833,0.3887025,1675.08489,0.0253018,95.0,0.155,17.64,29.67,0.27023,,,,,,,,99088130048.0,,33776188.0,
4174,2020,2020-01-01,Slovakia,Europe and North America,Developed Economies,,0.3970662,2448.71081,-0.0440481,95.0,,,,0.24818,,,,0.513,68.75,,0.2559487,94769119232.0,,31094728.0,
4175,2021,2021-01-01,Slovakia,Europe and North America,Developed Economies,,,,,,,,,,,1.0,,,,,,,,35308216.0,
4176,2002,2002-01-01,Slovenia,Europe and North America,Developed Economies,20.10788,0.4488669999999999,358.53191,0.0351571,95.0,,16.31,15.08,,0.0144325,,,,,,,34509225984.0,,16564489.0,
4177,2003,2003-01-01,Slovenia,Europe and North America,Developed Economies,19.776,0.4456,1569.67484,0.0292944,95.0,,16.9,14.96,,0.0124792,,,,,,,35530788864.0,,16271332.0,
4178,2004,2004-01-01,Slovenia,Europe and North America,Developed Economies,20.17528,0.4468627,271.18034,0.0423543999999999,95.0,,17.77,15.23,,0.0137026,,,,,,,37079646208.0,99.6999969482422,16704502.0,
4179,2005,2005-01-01,Slovenia,Europe and North America,Developed Economies,20.43319,0.4506962999999999,675.45647,0.0355062,95.0,0.161,18.58,15.43,,0.0141778,,,,,,0.5230192,38487920640.0,,16932322.0,100.0
4180,2006,2006-01-01,Slovenia,Europe and North America,Developed Economies,20.63335,0.4430805,561.64752,0.0535276,95.0,,17.36,15.78,,0.0153705,,,,,,,40699588608.0,,17178324.0,
4181,2007,2007-01-01,Slovenia,Europe and North America,Developed Economies,20.81743,0.4336077,706.27656,0.0646507,95.0,,18.35,15.74,,0.0142703,,,,,,,43540484096.0,,17342812.0,
4182,2008,2008-01-01,Slovenia,Europe and North America,Developed Economies,21.54328,0.4365865,757.29157,0.029504,95.0,,17.63,16.77,,0.0162673,,,,,,,45068685312.0,,18278408.0,
4183,2009,2009-01-01,Slovenia,Europe and North America,Developed Economies,19.37809,0.4354819,1218.40993,-0.080372,95.0,,19.57,15.09,,0.0181184,,,,,,,41666703360.0,,16204023.0,
4184,2010,2010-01-01,Slovenia,Europe and North America,Developed Economies,19.61354,0.445763,-475.83431,0.0087094,95.0,0.135,20.07,15.42,,0.0205133,,,,,,0.4653949999999999,42226601984.0,,16459522.0,100.0
4185,2011,2011-01-01,Slovenia,Europe and North America,Developed Economies,19.54039,0.4422717,105.36988,0.0047043,95.0,,19.14,15.4,,0.0241297,,,,,,,42590310400.0,,16358580.0,100.0
4186,2012,2012-01-01,Slovenia,Europe and North America,Developed Economies,18.91761,0.4536003999999999,1087.41581,-0.0294866999999999,95.0,,20.22,14.81,,0.0256061,,,,,,,41466163200.0,,15760511.0,99.83625030517578
4187,2013,2013-01-01,Slovenia,Europe and North America,Developed Economies,18.22097,0.4568857,339.33064,-0.0128291,95.0,,22.48,14.16,,0.0256487,,,,,,,41039360000.0,,15133322.0,99.83610534667967
4188,2014,2014-01-01,Slovenia,Europe and North America,Developed Economies,16.5815,0.4533516999999999,-151.22267,0.0255053999999999,95.0,,22.91,12.69,,0.0236547999999999,,,,,,,42175393792.0,99.6999969482422,13568170.0,99.79339599609376
4189,2015,2015-01-01,Slovenia,Europe and North America,Developed Economies,16.76095,0.4586312999999999,1051.23882,0.0202695,95.0,0.128,21.38,12.77,0.15953,0.0219565,,,,,5.0,0.4112323,43107504128.0,,13653307.0,99.79371643066406
4190,2016,2016-01-01,Slovenia,Europe and North America,Developed Economies,17.61646,0.4424371,1675.07711,0.0304206,95.0,,20.96,13.56,0.16985,0.0201145,,,,,,,44483432448.0,,14464584.0,99.47412872314452
4191,2017,2017-01-01,Slovenia,Europe and North America,Developed Economies,17.6966,0.4401702,1245.94209,0.0470513,95.0,,19.71,13.71,0.18131,0.0186635,,2.0,,,,,46625480704.0,,14622025.0,99.49102783203124
4192,2018,2018-01-01,Slovenia,Europe and North America,Developed Economies,17.52174,0.4424767,897.75308,0.0435,95.0,,20.61,13.62,0.17125,0.0195039,,2.0,,,,,48687501312.0,,14526712.0,
4193,2019,2019-01-01,Slovenia,Europe and North America,Developed Economies,17.06545,0.4375483,1384.173,0.0320995,95.0,0.114,20.86,13.12,0.13563,,,2.0,,,,,50270105600.0,,14048142.0,
4194,2020,2020-01-01,Slovenia,Europe and North America,Developed Economies,,0.4361028,1226.62169,-0.0424234,95.0,,,,0.1226,,,2.0,1.0,,,0.3608295,48144052224.0,,12866237.0,
4195,2021,2021-01-01,Slovenia,Europe and North America,Developed Economies,,,,,,,,,,,1.0,,,,,,,,12549330.0,
4196,2002,2002-01-01,Solomon Islands,Other,Least Developed,,,-9.3133,-0.0222775999999999,9.0,,52.82,,,,,,,,,,715870528.0,,245488.0,
4197,2003,2003-01-01,Solomon Islands,Other,Least Developed,,,-4.00199,0.0711422,9.0,,51.46,,,,,,,,,,762590784.0,,256480.02,
4198,2004,2004-01-01,Solomon Islands,Other,Least Developed,,,-1.80069,0.049771,8.0,,49.91,,,,,,,,,,813319616.0,,274800.0,
4199,2005,2005-01-01,Solomon Islands,Other,Least Developed,0.49302,,5.68131,0.0475998,8.0,0.35,49.7,,,,,,,,,,858381184.0,,282128.0,100.0
4200,2006,2006-01-01,Solomon Islands,Other,Least Developed,,,18.58087,0.0172073999999999,8.0,,48.93,,,,,,,,,,900125312.0,,289456.0,
4201,2007,2007-01-01,Solomon Islands,Other,Least Developed,,,44.29486,0.0131209,8.0,,47.42,,,,,,,,,,940210752.0,,300448.0,
4202,2008,2008-01-01,Solomon Islands,Other,Least Developed,,,86.02601,0.0385726,8.0,,46.69,,,,,,,,,,994809856.0,,307776.0,
4203,2009,2009-01-01,Solomon Islands,Other,Least Developed,,,74.95237,0.0050405,8.0,,45.79,,,,,,,,,,1020243392.0,76.5999984741211,318768.0,
4204,2010,2010-01-01,Solomon Islands,Other,Least Developed,0.61861,,48.57332,0.0707337,8.0,0.4039999999999999,45.07,,,,,,,,,,1108154880.0,,329760.0,100.0
4205,2011,2011-01-01,Solomon Islands,Other,Least Developed,,0.3326247999999999,165.92089,0.0471992,8.0,,43.61,,,,,,,,,,1188740352.0,,344416.0,100.0
4206,2012,2012-01-01,Solomon Islands,Other,Least Developed,,0.3383024,120.16958,-0.0031663999999999,8.0,,43.82,,,,,,,,,,1210856448.0,,348080.0,100.0
4207,2013,2013-01-01,Solomon Islands,Other,Least Developed,,0.4539561,23.89765,0.0251621,8.0,,41.83,,,,,,,,,,1275407872.0,,373728.0,100.0
4208,2014,2014-01-01,Solomon Islands,Other,Least Developed,,0.4196782,53.36162,-0.0166067,8.0,,45.89,,,,,,,,,,1288815744.0,,329760.0,100.0
4209,2015,2015-01-01,Solomon Islands,Other,Least Developed,,0.4229386,21.69152,-0.0127925,8.0,0.4,48.64,,0.0,,,,,,,,1307061504.0,,293120.0,100.0
4210,2016,2016-01-01,Solomon Islands,Other,Least Developed,,0.3607486,31.59716,0.0308381999999999,9.0,,48.7,,0.0,,,,,,,,1383915008.0,,289456.0,100.0
4211,2017,2017-01-01,Solomon Islands,Other,Least Developed,,0.3775126,38.60753,0.0259703,9.0,,48.98,,0.0,,,,,,,,1457865728.0,,285792.0,99.91756439208984
4212,2018,2018-01-01,Solomon Islands,Other,Least Developed,,0.3724494,42.8399,0.0121602999999999,9.0,,48.64,,0.0,,,,,,,,1515367552.0,,289456.0,
4213,2019,2019-01-01,Solomon Islands,Other,Least Developed,,0.3514594,24.83821,-0.0135895,9.0,0.392,48.39,,0.0,,,,,,,,1533613312.0,,293120.0,
4214,2020,2020-01-01,Solomon Islands,Other,Least Developed,,0.3757597,32.80862,-0.0669623,9.0,,,,0.0,,,,0.0,,,,1467403264.0,,309364.0,
4215,2021,2021-01-01,Solomon Islands,Other,Least Developed,,,,,,,,,,,,,,,,,,,317925.0,
4216,2002,2002-01-01,Somalia,Sub-Saharan Africa,Least Developed,,,0.04,0.0007281,5.0,,92.58,,,,,,,,,,,,586240.0,
4217,2003,2003-01-01,Somalia,Sub-Saharan Africa,Least Developed,,,0.14,0.0018824,5.0,,92.8,,,,,,,,,,,,593568.0,
4218,2004,2004-01-01,Somalia,Sub-Saharan Africa,Least Developed,,,-0.85,-0.0020107,5.0,,93.0,,,,,,,,,,,,593568.0,
4219,2005,2005-01-01,Somalia,Sub-Saharan Africa,Least Developed,,,-4.79,-0.0012169,5.0,0.325,93.3,,,,,,,,,,,,593568.0,100.0
4220,2006,2006-01-01,Somalia,Sub-Saharan Africa,Least Developed,,,24.0,-0.0061611,5.0,,93.47,,,,,,,,,,,,593568.0,
